id,value
779,755
780,753
781,755
782,755
783,157
784,156
785,NA
786,157
787,157
788,159
789,NA
790,159
791,159
792,159
793,157
794,157
795,157
796,156
797,157
798,157
799,NA
800,NA
801,NA
802,30
803,47
804,NA
805,26
806,26
807,28
808,28
809,28
810,28
811,28
812,26
813,28
814,28
815,35
816,35
817,36
818,36
819,37
820,36
821,36
822,35
823,36
824,36
825,27
826,27
827,27
828,27
829,27
830,27
831,27
832,27
833,27
834,27
835,33
836,33
837,34
838,34
839,37
840,34
841,34
842,33
843,34
844,34
845,11
846,11
847,11
848,11
849,13
850,11
851,11
852,11
853,11
854,11
855,10
856,10
857,11
858,11
859,12
860,11
861,11
862,10
863,11
864,11
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,941
875,938
876,1064
877,NA
878,1065
879,99
880,99
881,14
882,14
883,NA
884,NA
885,14
886,14
887,15
888,NA
889,NA
890,15
891,NA
892,15
893,14
894,14
895,13
896,14
897,14
898,37
899,37
900,37
901,36
902,36
903,37
904,NA
905,37
906,37
907,37
908,37
909,36
910,36
911,36
912,36
913,36
914,11
915,11
916,NA
917,11
918,11
919,13
920,NA
921,13
922,13
923,13
924,13
925,11
926,11
927,11
928,11
929,11
930,NA
931,141
932,141
933,141
934,141
935,160
936,177
937,177
938,187
939,141
940,141
941,141
942,141
943,141
944,NA
945,NA
946,NA
947,326
948,326
949,326
950,326
951,112
952,107
953,472
954,326
955,326
956,324
957,326
958,326
959,163
960,130
961,28
962,13
963,13
964,12
965,12
966,15
967,15
968,15
969,15
970,14
971,14
972,15
973,12
974,12
975,12
976,12
977,12
978,46
979,46
980,45
981,45
982,47
983,NA
984,47
985,47
986,47
987,47
988,47
989,45
990,45
991,45
992,45
993,45
994,11
995,11
996,11
997,11
998,13
999,NA
1000,13
1001,13
1002,13
1003,13
1004,13
1005,11
1006,11
1007,11
1008,11
1009,11
1010,873
1011,873
1012,NA
1013,878
1014,878
1015,640
1016,NA
1017,923
1018,309
1019,923
1020,924
1021,899
1022,878
1023,878
1024,872
1025,878
1026,282
1027,281
1028,NA
1029,282
1030,282
1031,162
1032,NA
1033,294
1034,143
1035,297
1036,297
1037,290
1038,282
1039,282
1040,281
1041,282
1042,124
1043,124
1044,NA
1045,124
1046,124
1047,130
1048,130
1049,130
1050,130
1051,130
1052,130
1053,124
1054,124
1055,124
1056,124
1057,26
1058,26
1059,NA
1060,26
1061,26
1062,27
1063,27
1064,27
1065,27
1066,27
1067,27
1068,26
1069,26
1070,26
1071,26
1072,NA
1073,NA
1074,NA
1075,NA
1076,NA
1077,23
1078,23
1079,23
1080,23
1081,28
1082,28
1083,27
1084,27
1085,23
1086,23
1087,23
1088,23
1089,23
1090,35
1091,35
1092,35
1093,35
1094,37
1095,37
1096,36
1097,37
1098,35
1099,35
1100,35
1101,35
1102,35
1103,11
1104,11
1105,11
1106,11
1107,13
1108,13
1109,13
1110,13
1111,11
1112,11
1113,11
1114,11
1115,11
1116,920
1117,920
1118,932
1119,921
1120,921
1121,418
1122,930
1123,932
1124,547
1125,932
1126,931
1127,932
1128,932
1129,920
1130,920
1131,918
1132,920
1133,920
1134,834
1135,832
1136,828
1137,828
1138,142
1139,835
1140,719
1141,835
1142,835
1143,835
1144,828
1145,828
1146,826
1147,828
1148,828
1149,31
1150,46
1151,16
1152,35
1153,35
1154,35
1155,35
1156,37
1157,37
1158,37
1159,35
1160,35
1161,34
1162,35
1163,35
1164,27
1165,27
1166,27
1167,27
1168,15
1169,28
1170,28
1171,27
1172,27
1173,27
1174,27
1175,27
1176,1070
1177,2004
1178,653
1179,828
1180,827
1181,825
1182,825
1183,142
1184,840
1185,841
1186,839
1187,825
1188,825
1189,824
1190,825
1191,825
1192,121
1193,121
1194,121
1195,121
1196,99
1197,99
1198,124
1199,130
1200,130
1201,130
1202,121
1203,121
1204,121
1205,121
1206,121
1207,27
1208,27
1209,27
1210,27
1211,26
1212,26
1213,26
1214,27
1215,27
1216,26
1217,27
1218,27
1219,27
1220,27
1221,27
1222,11
1223,11
1224,11
1225,11
1226,15
1227,13
1228,13
1229,11
1230,11
1231,11
1232,11
1233,11
1234,NA
1235,238
1236,238
1237,NA
1238,NA
1239,NA
1240,1102
1241,119
1242,119
1243,119
1244,119
1245,128
1246,120
1247,113
1248,128
1249,128
1250,128
1251,119
1252,119
1253,119
1254,128
1255,119
1256,119
1257,27
1258,27
1259,27
1260,27
1261,28
1262,26
1263,27
1264,28
1265,28
1266,27
1267,27
1268,27
1269,27
1270,28
1271,27
1272,27
1273,NA
1274,NA
1275,NA
1276,NA
1277,46
1278,NA
1279,NA
1280,NA
1281,NA
1282,NA
1283,NA
1284,15
1285,NA
1286,NA
1287,NA
1288,NA
1289,46
1290,46
1291,NA
1292,NA
1293,NA
1294,NA
1295,NA
1296,NA
1297,NA
1298,NA
1299,NA
1300,15
1301,15
1302,NA
1303,NA
1304,NA
1305,NA
1306,NA
1307,NA
1308,NA
1309,NA
1310,NA
1311,NA
1312,NA
1313,NA
1314,NA
1315,NA
1316,NA
1317,NA
1318,NA
1319,NA
1320,NA
1321,NA
1322,NA
1323,NA
1324,NA
1325,NA
1326,NA
1327,NA
1328,NA
1329,NA
1330,NA
1331,NA
1332,4
1333,4
1334,4921
